PRODUTO,UF,PREÇO SANTA CRUZ
3282770148817,PR,"72,62"
3282770148817,RJ,"66,27"
3282770148817,RS,"66,66"
3282770148817,SC,"69,53"
3282770148817,SP,"63,98"
3282770148817,TO,"78,22"
3282770149630,DF,"82,52"
3282770149630,GO,"75,07"
3282770149630,MG,"69,27"
3282770149630,PI,"85,06"
3282770149630,PR,"64,48"
3282770149630,RJ,"62,18"
3282770149630,RS,"75,53"
3282770149630,SC,"76,34"
3282770149630,SP,"64,06"
3282770149647,DF,"165,21"
3282770149647,GO,"148,2"
3282770149647,MG,"138,69"
3282770149647,PR,"129,1"
3282770149647,RJ,"124,46"
3282770149647,RS,"151,22"
3282770149647,SC,"157,56"
3282770149647,SP,"128,25"
3282770150599,CE,"86,25"
3282770150599,DF,"92,09"
3282770150599,GO,"75,77"
3282770150599,MG,"76,74"
3282770150599,PI,"83,62"
3282770150599,PR,"72,73"
3282770150599,RJ,"76,71"
3282770150599,RS,"78,99"
3282770150599,SC,"80,51"
3282770150599,SP,"70,35"
3282770153101,PR,"219,6"
3282770153101,SC,"172,13"
3282770153217,DF,"181,19"
3282770153217,GO,"165,53"
3282770153217,PR,198
3282770153217,RJ,"163,27"
3282770153217,RS,"179,93"
3282770153217,SP,"164,36"
3282770153460,BA,"24,24"
3282770153460,CE,"24,13"
3282770153460,DF,"27,29"
3282770153460,GO,"24,65"
3282770153460,MS,"28,66"
3282770153460,PI,"25,94"
3282770153460,PR,"17,42"
3282770153460,RS,"25,01"
3282770153460,SC,"24,78"
3282770153460,SP,"21,29"
3282770153460,TO,"26,07"
3282770153477,BA,"40,38"
3282770153477,CE,"43,04"
3282770153477,DF,"45,46"
3282770153477,GO,"41,06"
3282770153477,MS,"44,47"
3282770153477,PI,"48,06"
3282770153477,PR,"29,07"
3282770153477,RJ,"39,88"
3282770153477,RS,"41,45"
3282770153477,SC,"41,29"
3282770153477,SP,"35,49"
3282770153477,TO,"43,44"
3282770153484,BA,"55,25"
3282770153484,CE,"58,7"
3282770153484,DF,"62,02"
3282770153484,GO,"54,78"
3282770153484,MS,"60,65"
3282770153484,PI,"65,53"
3282770153484,PR,"34,2"
3282770153484,RS,"56,85"
3282770153484,SC,"56,31"
3282770153484,SP,"48,38"
3282770153484,TO,"63,78"
3282770153491,BA,"46,3"
3282770153491,CE,"50,88"
3282770153491,DF,"56,19"
3282770153491,GO,"47,68"
3282770153491,MG,"49,25"
3282770153491,MS,"52,35"
3282770153491,PI,"51,11"
3282770153491,PR,"48,39"
3282770153491,RJ,"48,1"
3282770153491,RS,"45,65"
3282770153491,SC,"48,78"
3282770153491,SP,"48,57"
3282770153491,TO,"55,27"
3282770153507,BA,"69,96"
3282770153507,CE,"74,35"
3282770153507,DF,"78,56"
3282770153507,GO,"70,94"
3282770153507,MG,"66,85"
3282770153507,MS,"70,43"
3282770153507,PI,"74,7"
3282770153507,PR,"65,69"
3282770153507,RJ,"70,54"
3282770153507,RS,72
3282770153507,SC,"72,73"
3282770153507,SP,"66,75"
3282770153507,TO,"75,05"
3282770153521,CE,"65,98"
3282770153521,DF,"63,73"
3282770153521,GO,"58,22"
3282770153521,MG,"63,28"
3282770153521,PI,"66,39"
3282770153521,PR,"63,41"
3282770153521,RJ,"52,61"
3282770153521,RS,"63,28"
3282770153521,SC,"53,88"
3282770153521,SP,"53,6"
3282770153521,TO,"65,5"
3282770153538,DF,"95,62"
3282770153538,GO,"87,36"
3282770153538,MG,"94,92"
3282770153538,PR,"95,14"
3282770153538,RJ,"72,97"
3282770153538,RS,"102,41"
3282770153538,SC,"78,4"
3282770153538,SP,"80,4"
3282770153811,DF,"54,08"
3282770153811,GO,"48,66"
3282770153811,MG,"54,11"
3282770153811,PI,"61,79"
3282770153811,PR,"49,6"
3282770153811,RJ,"43,81"
3282770153811,RS,"54,11"
3282770153811,SC,"46,45"
3282770153811,SP,"47,92"
3282770153835,BA,"58,2"
3282770153835,CE,"73,14"
3282770153835,DF,"65,66"
3282770153835,GO,"59,09"
3282770153835,MG,"65,69"
3282770153835,PI,"75,04"
3282770153835,PR,"60,24"
3282770153835,RJ,"53,2"
3282770153835,RS,"65,71"
3282770153835,SC,"56,41"
3282770153835,SP,"58,2"
3282770153835,TO,"67,41"
3282770154672,MG,"46,32"
3282770154672,PR,"47,15"
3282770154672,RS,"49,26"
3282770154672,SC,"47,74"
3282770154672,SP,"47,3"
3282770154801,DF,"73,26"
3282770154801,GO,"66,93"
3282770154801,MG,"49,87"
3282770154801,PR,"49,87"
3282770154801,RS,"66,49"
3282770154801,SC,"57,36"
3282770154801,SP,"49,87"
3282770154825,DF,"73,26"
3282770154825,GO,"66,93"
3282770154825,PR,"49,87"
3282770154825,RS,"66,49"
3282770154825,SP,"49,87"
3282770154849,DF,"73,26"
3282770154849,RS,"66,49"
3282770200614,BA,"56,48"
3282770200614,DF,"64,31"
3282770200614,GO,"58,75"
3282770200614,MG,"63,85"
3282770200614,PI,"66,98"
3282770200614,PR,"63,65"
3282770200614,RJ,"57,67"
3282770200614,RS,"63,86"
3282770200614,SC,"56,7"
3282770200614,SP,"58,35"
3282770202090,BA,"85,58"
3282770202090,DF,"96,95"
3282770202090,GO,"88,93"
3282770202090,MG,"96,62"
3282770202090,PR,"88,95"
3282770202090,RJ,"78,23"
3282770202090,RS,"82,64"
3282770202090,SC,"79,85"
3282770202090,SP,"86,41"
3282770202212,CE,"75,59"
3282770202212,DF,"77,26"
3282770202212,GO,"70,87"
3282770202212,MG,"77,31"
3282770202212,PR,"70,86"
3282770202212,RJ,"62,58"
3282770202212,RS,"77,31"
3282770202212,SC,"66,35"
3282770202212,SP,"66,04"
3282770202854,DF,"157,54"
3282770202854,GO,"138,8"
3282770202854,MS,"168,36"
3282770202854,PR,"151,2"
3282770202854,RJ,"131,86"
3282770202854,SC,"134,94"
3282770202854,SP,"142,31"
3282770202854,TO,"140,48"
3282770204667,CE,"58,6"
3282770204667,DF,"65,4"
3282770204667,GO,"59,74"
3282770204667,MG,"64,92"
3282770204667,PR,"64,93"
3282770204667,RJ,"52,88"
3282770204667,RS,"64,92"
3282770204667,SC,"50,21"
3282770204667,SP,"64,92"
3282770206036,BA,"49,98"
3282770206036,CE,"62,8"
3282770206036,DF,"56,39"
3282770206036,GO,"51,72"
3282770206036,MG,"56,42"
3282770206036,MS,"57,17"
3282770206036,PI,"64,45"
3282770206036,PR,"51,73"
3282770206036,RJ,"45,68"
3282770206036,RS,"56,42"
3282770206036,SC,"46,45"
3282770206036,SP,"48,97"
3282770206036,TO,"57,89"
3282770206050,BA,"49,98"
3282770206050,CE,"62,8"
3282770206050,DF,"56,39"
3282770206050,GO,"51,72"
3282770206050,MG,"56,42"
3282770206050,MS,"57,17"
3282770206050,PI,"64,45"
3282770206050,PR,"51,73"
3282770206050,RJ,"45,68"
3282770206050,RS,"56,42"
3282770206050,SC,"46,45"
3282770206050,SP,"48,97"
3282770206050,TO,"57,89"
3282770206074,BA,"47,92"
3282770206074,CE,"60,22"
3282770206074,DF,"54,08"
3282770206074,GO,"49,61"
3282770206074,MG,"54,11"
3282770206074,PI,"61,79"
3282770206074,PR,"49,6"
3282770206074,RJ,"43,81"
3282770206074,RS,"54,11"
3282770206074,SC,"46,45"
3282770206074,SP,"46,96"
3282770206951,DF,"60,26"
3282770206951,MG,"60,28"
3282770206951,PR,"55,26"
3282770206951,RJ,"48,82"
3282770206951,RS,"60,29"
3282770206951,SC,"49,63"
3282770206951,SP,"53,4"
3282770206968,DF,"60,26"
3282770206968,MG,"60,28"
3282770206968,PR,"55,26"
3282770206968,RJ,"48,82"
3282770206968,RS,"60,29"
3282770206968,SC,"49,63"
3282770206968,SP,"53,4"
3282770207088,MG,"149,16"
3282770207088,PR,"146,33"
3282770207088,RJ,"120,67"
3282770207088,RS,"132,99"
3282770207088,SC,"114,7"
3282770207088,SP,"121,47"
3282770207118,PR,"119,21"
3282770207118,SC,"101,55"
3282770207187,BA,"68,46"
3282770207187,CE,"86,03"
3282770207187,DF,"77,26"
3282770207187,GO,"70,87"
3282770207187,MG,"77,31"
3282770207187,PR,"70,86"
3282770207187,RJ,"62,58"
