PRODUTO,UF,CONCORRENTE,PREÇO CONCORRENTE,HORA COLETA
8429420205192,DF,B,"80,39",11/03/99 05:12:12
7894916515207,DF,B,"178,64",11/03/99 05:12:20
7896026171380,DF,B,"122,42",11/03/99 05:12:29
7894916515214,DF,B,"205,53",11/03/99 05:12:42
7897930777873,DF,B,"51,96",11/03/99 05:13:13
7891024179925,DF,B,"28,88",11/03/99 05:13:26
7898040321871,DF,B,"163,4",11/03/99 05:13:34
7891106911733,DF,B,"47,67",11/03/99 05:13:48
8429420078581,DF,B,"101,14",11/03/99 05:13:56
7500435171090,DF,B,"46,17",11/03/99 05:14:05
7899706159272,DF,B,"71,64",11/03/99 05:14:13
7899026478909,DF,B,"30,2",11/03/99 05:14:21
7896009498664,DF,B,"130,85",11/03/99 05:14:30
5701943011386,DF,B,"96,51",11/03/99 05:14:43
7896676434026,DF,B,"117,22",11/03/99 05:14:56
7896112403418,DF,B,"94,8",11/03/99 05:15:04
7899706195027,DF,B,"64,35",11/03/99 05:15:18
7500435199087,DF,B,"92,16",11/03/99 05:15:31
4987188568712,DF,B,"12,11",11/03/99 05:15:39
7896637032209,DF,B,"77,19",11/03/99 05:15:53
7896637026802,DF,B,"42,78",11/03/99 05:16:01
7891142204127,DF,B,"111,64",11/03/99 05:16:10
7891317009502,DF,B,"114,6",11/03/99 05:16:26
8429420226241,DF,B,"80,77",11/03/99 05:16:35
7898040329716,DF,B,"66,65",11/03/99 05:16:43
7896676438550,DF,B,"100,94",11/03/99 05:17:01
7891106913522,DF,B,"35,6",11/03/99 05:17:10
7899706254403,DF,B,"105,2",11/03/99 05:17:18
7896094927223,DF,B,"216,73",11/03/99 05:17:31
7899420507663,DF,B,"196,34",11/03/99 05:17:40
8429420093232,DF,B,"101,14",11/03/99 05:17:48
7896112402411,DF,B,"180,59",11/03/99 05:17:57
7891142203113,DF,B,"86,98",11/03/99 05:18:05
7896009498121,DF,B,"51,97",11/03/99 05:18:18
7896009490651,DF,B,"51,24",11/03/99 05:18:27
7896094917408,DF,B,"149,04",11/03/99 05:18:40
4005808555345,DF,B,"51,87",11/03/99 05:18:49
7899706159197,DF,B,"74,9",11/03/99 05:19:02
8429420225718,DF,B,"56,21",11/03/99 05:19:20
7891137003704,DF,B,"215,16",11/03/99 05:19:29
7500435171106,DF,B,"15,86",11/03/99 05:19:47
7891010249939,DF,B,"18,96",11/03/99 05:19:56
7891142204349,DF,B,"66,19",11/03/99 05:20:09
7896004759975,DF,B,"115,93",11/03/99 05:20:17
7896094921849,DF,B,"57,66",11/03/99 05:20:26
7898949409632,DF,B,"37,54",11/03/99 05:20:34
7891142204141,DF,B,"111,64",11/03/99 05:20:48
7891137003698,DF,B,"152,31",11/03/99 05:20:56
7891106908221,DF,B,"29,76",11/03/99 05:21:04
7894916515689,DF,B,"272,38",11/03/99 05:21:13
7896112401001,DF,B,"211,26",11/03/99 05:21:26
